Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Population,Latitude,Longitude,Elevation (ft),Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,City Generator Link
75,Solles,Artevanvil,Artevanvil Province,Nesplia,Republic of Nesplia,Luari,Nozie Cult,13908,11.35,-74.39,2218,,,citadel,,plaza,,,https://watabou.github.io/city-generator/?name=Solles&population=13908&size=35&seed=8827550800075&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
76,Ancia,Bargostabia,Bargostabia Canton,Alcaucia,Republic of Alcaucia,Astellian,Astellian Faith,6241,-6.33,66.6,738,,,citadel,,,,,https://watabou.github.io/city-generator/?name=Ancia&population=6241&size=26&seed=8827550800076&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
77,Cengora,New Pinia,New Pinia Colony,Alcaucia,Republic of Alcaucia,Astellian,Astellian Faith,14642,7.97,43.81,1447,,,,walls,plaza,,,https://watabou.github.io/city-generator/?name=Cengora&population=14642&size=36&seed=8827550800077&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
78,Valza,Drieladia,Drieladia Canton,Alcaucia,Republic of Alcaucia,Astellian,Astellian Faith,21245,-10.2,70.73,840,,,,walls,plaza,temple,shanty town,https://watabou.github.io/city-generator/?name=Valza&population=21245&size=41&seed=8827550800078&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1
79,Nobla,Lucera,Lucera Canton,Alcaucia,Republic of Alcaucia,Astellian,Astellian Faith,10527,-14.28,76.95,2572,,,citadel,,plaza,,,https://watabou.github.io/city-generator/?name=Nobla&population=10527&size=32&seed=8827550800079&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
80,Marvoy,Artevanvil,Artevanvil Province,Nesplia,Republic of Nesplia,Luari,Nozie Cult,13001,10.84,-71.43,1063,,port,citadel,,,,,https://watabou.github.io/city-generator/?name=Marvoy&population=13001&size=34&seed=8827550800080&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=1.96
81,Svislav,Ponion,Ponion Parish,Orchomenia,Patriarchate of Orchomenia,Slovan,Rechinok Pantheon,2603,-7.95,-76.58,3573,,,citadel,,plaza,temple,,https://watabou.github.io/city-generator/?name=Svislav&population=2603&size=19&seed=8827550800081&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1
82,Pithumna,Pithumna,Pithumna Parish,Orchomenia,Patriarchate of Orchomenia,Elladan,Rechinok Pantheon,16322,-2.19,-89.77,2572,,,,walls,plaza,temple,,https://watabou.github.io/city-generator/?name=Pithumna&population=16322&size=37&seed=8827550800082&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1
83,Alvez,Drieladia,Drieladia Canton,Alcaucia,Republic of Alcaucia,Astellian,Astellian Faith,11866,-13.2,72.44,1184,,,,,plaza,,,https://watabou.github.io/city-generator/?name=Alvez&population=11866&size=33&seed=8827550800083&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
84,Lombrechienne,Lombrechienne,Lombrechienne County,Crarigneia,Kingdom of Crarigneia,Luari,Nozie Cult,12619,32.8,-41.03,30,,,,,,,,https://watabou.github.io/city-generator/?name=Lombrechienne&population=12619&size=34&seed=8827550800084&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
85,Felheus,Gradafielia,Gradafielia Province,Nesplia,Republic of Nesplia,Portuzian,Nozie Cult,18807,17.6,-85.43,472,,,,walls,,,,https://watabou.github.io/city-generator/?name=Felheus&population=18807&size=39&seed=8827550800085&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
86,Hyepidea,Pithumna,Pithumna Parish,Orchomenia,Patriarchate of Orchomenia,Elladan,Rechinok Pantheon,1839,0.94,-88.88,1063,,,,,plaza,temple,,https://watabou.github.io/city-generator/?name=Hyepidea&population=1839&size=16&seed=8827550800086&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1
87,Belleauville,Vilia,Vilia County,Auiersia,Principality of Auiersia,Luari,Nozie Cult,2710,26.7,-65.61,13,,port,,,,,,https://watabou.github.io/city-generator/?name=Belleauville&population=2710&size=19&seed=8827550800087&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=1.41
88,Hobovech,Zubruisk,Zubruisk Province,Zubria,Republic of Zubria,Slovan,Word of Acuso,1628,2.09,-59.78,1588,,,citadel,,,,,https://watabou.github.io/city-generator/?name=Hobovech&population=1628&size=16&seed=8827550800088&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
89,Sonzanes,Horzueria,Horzueria Canton,Lonalejasia,Republic of Lonalejasia,Astellian,Astellian Faith,1631,-21.93,72.97,118,,,,walls,plaza,,,https://watabou.github.io/city-generator/?name=Sonzanes&population=1631&size=16&seed=8827550800089&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
90,Cemoucy,Karkkanie,Karkkanie County,Crarigneia,Kingdom of Crarigneia,Luari,Nozie Cult,5126,33.38,-34.19,118,,,citadel,,,,,https://watabou.github.io/city-generator/?name=Cemoucy&population=5126&size=24&seed=8827550800090&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
91,Stansfield,Guildhurst,Guildhurst Parish,Chip,Chip Theocracy,Angshire,Guildendalese Church,10330,27.48,58.38,82,,,citadel,,,temple,,https://watabou.github.io/city-generator/?name=Stansfield&population=10330&size=31&seed=8827550800091&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
92,Fuendatan,Olbamuria,Olbamuria Department,Luquedia,Most Serene Republic of Luquedia,Astellian,Hergesian Coterie,2714,25.24,67.97,1312,,,citadel,,plaza,,,https://watabou.github.io/city-generator/?name=Fuendatan&population=2714&size=19&seed=8827550800092&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
93,Schlu,New Stebachenia,New Stebachenia Colony,Bienaunin,Principality of Bienaunin,Shwazen,Novimism,7598,27.61,13.29,554,,,citadel,,plaza,,,https://watabou.github.io/city-generator/?name=Schlu&population=7598&size=28&seed=8827550800093&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
94,Vitliard,Artevanvil,Artevanvil Province,Nesplia,Republic of Nesplia,Luari,Nozie Cult,9165,15.7,-75.53,1736,,,,,,,,https://watabou.github.io/city-generator/?name=Vitliard&population=9165&size=30&seed=8827550800094&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
95,Rouvray,Charoy,Charoy County,Crarigneia,Kingdom of Crarigneia,Luari,Nozie Cult,1598,29.57,-50.67,1736,,,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Rouvray&population=1598&size=16&seed=8827550800095&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
96,Siunlinvaa,Numevitmaa,Numevitmaa County,Klaukmaa,Principality of Klaukmaa,Soumi,Novimism,1769,28.15,-5.9,266,,,,,,,,https://watabou.github.io/city-generator/?name=Siunlinvaa&population=1769&size=16&seed=8827550800096&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
97,Sanha,Areibeiras,Areibeiras Province,Nesplia,Republic of Nesplia,Portuzian,Nozie Cult,2997,12.89,-82.27,4252,,port,,walls,,,,https://watabou.github.io/city-generator/?name=Sanha&population=2997&size=20&seed=8827550800097&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=1.83
98,Friederied,Wildrachia,Wildrachia Seneschalty,Bienaunin,Principality of Bienaunin,Shwazen,Novimism,14736,32.38,18.86,13,,port,citadel,,,,,https://watabou.github.io/city-generator/?name=Friederied&population=14736&size=36&seed=8827550800098&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=0.75
99,Mazochenay,Auiersoy,Auiersoy County,Auiersia,Principality of Auiersia,Luari,Nozie Cult,5324,28.36,-77.48,1312,,port,,,,,,https://watabou.github.io/city-generator/?name=Mazochenay&population=5324&size=24&seed=8827550800099&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=0.79
100,Monteouvy,Vilia,Vilia County,Auiersia,Principality of Auiersia,Luari,Nozie Cult,2718,27.2,-73.54,1588,,,citadel,,,,,https://watabou.github.io/city-generator/?name=Monteouvy&population=2718&size=19&seed=8827550800100&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
101,Lunov,Krerezia,Krerezia Tribe,Orchomenia,Patriarchate of Orchomenia,Slovan,Rechinok Pantheon,2311,-2.29,-60.47,6644,,,citadel,,plaza,temple,,https://watabou.github.io/city-generator/?name=Lunov&population=2311&size=18&seed=8827550800101&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1
102,Redclesto,Guildhurst,Guildhurst Parish,Chip,Chip Theocracy,Angshire,Guildendalese Church,7744,28,57.2,1184,,,citadel,,,temple,,https://watabou.github.io/city-generator/?name=Redclesto&population=7744&size=28&seed=8827550800102&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
103,Ganamegita,Mocharesia,Mocharesia Dependency,Torbantia,Kingdom of Torbantia,Astellian,Astellian Faith,1457,2.76,51.94,7559,,,citadel,,,,,https://watabou.github.io/city-generator/?name=Ganamegita&population=1457&size=15&seed=8827550800103&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
104,Haiternberg,Schwenbachia,Schwenbachia Seneschalty,Bienaunin,Principality of Bienaunin,Shwazen,Novimism,19413,28.24,28.07,472,,,,walls,plaza,,,https://watabou.github.io/city-generator/?name=Haiternberg&population=19413&size=40&seed=8827550800104&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
105,Kovetslaro,Zubruisk,Zubruisk Province,Zubria,Republic of Zubria,Slovan,Word of Acuso,6097,5.27,-58.02,30,,,citadel,,,,,https://watabou.github.io/city-generator/?name=Kovetslaro&population=6097&size=26&seed=8827550800105&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
106,Ponwichwel,Malisin,Malisin Parish,Chip,Chip Theocracy,Angshire,Guildendalese Church,7178,30.51,48.75,82,,port,citadel,,,temple,,https://watabou.github.io/city-generator/?name=Ponwichwel&population=7178&size=27&seed=8827550800106&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1&sea=1.41
107,Drutskovo,Ponion,Ponion Parish,Orchomenia,Patriarchate of Orchomenia,Slovan,Rechinok Pantheon,1634,-7.87,-73.03,3153,,,,walls,,temple,,https://watabou.github.io/city-generator/?name=Drutskovo&population=1634&size=16&seed=8827550800107&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=1&shantytown=0&gates=-1
108,Mstis,Lulatia,Lulatia Parish,Orchomenia,Patriarchate of Orchomenia,Slovan,Rechinok Pantheon,3465,-8.34,-70.73,3573,,,citadel,,,temple,,https://watabou.github.io/city-generator/?name=Mstis&population=3465&size=21&seed=8827550800108&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
109,Herges,Alarares,Alarares County,Torbantia,Kingdom of Torbantia,Astellian,Hergesian Coterie,1729,24.04,63.51,52,,,,,,,,https://watabou.github.io/city-generator/?name=Herges&population=1729&size=16&seed=8827550800109&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
110,Ylajarvinen,Ylajarvinen,Ylajarvinen Area,Porvaval,Porvavalese Empire,Soumi,Nozie Cult,2162,18.22,-21.21,4252,,,,,plaza,,,https://watabou.github.io/city-generator/?name=Ylajarvinen&population=2162&size=17&seed=8827550800110&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
111,Guignes,Lombrechienne,Lombrechienne County,Crarigneia,Kingdom of Crarigneia,Luari,Nozie Cult,3472,32.06,-36.69,1063,,,,walls,,,,https://watabou.github.io/city-generator/?name=Guignes&population=3472&size=21&seed=8827550800111&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
112,Nuvusta,Keurenmaa,Keurenmaa Earldom,Klaukmaa,Principality of Klaukmaa,Soumi,Novimism,9128,30.41,4.34,554,,,citadel,walls,plaza,,,https://watabou.github.io/city-generator/?name=Nuvusta&population=9128&size=30&seed=8827550800112&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
113,Puisis,Puisis,Puisis Area,Egnia,Egnian Marches,Luari,Nozie Cult,5966,10.55,-65.7,5250,,,citadel,,,,,https://watabou.github.io/city-generator/?name=Puisis&population=5966&size=25&seed=8827550800113&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
114,Ganarme,Sivias,Sivias Captaincy,Torbantia,Kingdom of Torbantia,Astellian,Hergesian Coterie,7352,11.12,65.75,82,,,citadel,,,,,https://watabou.github.io/city-generator/?name=Ganarme&population=7352&size=28&seed=8827550800114&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
115,Monte,Charoy,Charoy County,Crarigneia,Kingdom of Crarigneia,Luari,Nozie Cult,1652,31.48,-51.93,118,,,,walls,,,,https://watabou.github.io/city-generator/?name=Monte&population=1652&size=16&seed=8827550800115&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
116,Gondroy,Gondroy,Gondroy Parish,Chadonia,Divine Duchy of Chadonia,Luari,Nozie Cult,11207,27.8,-62.42,30,,port,citadel,,plaza,temple,,https://watabou.github.io/city-generator/?name=Gondroy&population=11207&size=32&seed=8827550800116&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1&sea=0.58
117,Ehrsburg,Biesenwia,Biesenwia Territory,Bienaunin,Principality of Bienaunin,Shwazen,Novimism,1481,23.57,27.63,4492,,,citadel,,,,,https://watabou.github.io/city-generator/?name=Ehrsburg&population=1481&size=15&seed=8827550800117&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
118,Nodisov,Zubruisk,Zubruisk Province,Zubria,Republic of Zubria,Slovan,Word of Acuso,2083,3.69,-57.65,30,,,citadel,,,,,https://watabou.github.io/city-generator/?name=Nodisov&population=2083&size=17&seed=8827550800118&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
119,Utsabovii,Surmaa,Surmaa County,Porvaval,Porvavalese Empire,Soumi,Novimism,1573,21.02,-15.43,4492,,,citadel,,,,,https://watabou.github.io/city-generator/?name=Utsabovii&population=1573&size=15&seed=8827550800119&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
120,Thyria,Hia,Hia Council,Aphosia,Heptarchy of Aphosia,Elladan,Nozie Cult,23334,9.79,-83.55,1588,,,,walls,plaza,temple,,https://watabou.github.io/city-generator/?name=Thyria&population=23334&size=43&seed=8827550800120&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1
121,Korshichi,Korshe,Korshe Department,Zubria,Republic of Zubria,Slovan,Word of Acuso,9997,-0.2,-58.95,7248,,,,walls,,,,https://watabou.github.io/city-generator/?name=Korshichi&population=9997&size=31&seed=8827550800121&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
122,Lorcy,Artevanvil,Artevanvil Province,Nesplia,Republic of Nesplia,Luari,Nozie Cult,1727,13.32,-73.81,210,,,citadel,,,,,https://watabou.github.io/city-generator/?name=Lorcy&population=1727&size=16&seed=8827550800122&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
123,Egearis,Gortexand,Gortexand Canton,Aphosia,Heptarchy of Aphosia,Elladan,Nozie Cult,17601,6.21,-81.68,948,,,,walls,,,,https://watabou.github.io/city-generator/?name=Egearis&population=17601&size=38&seed=8827550800123&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
124,Malbolesbu,Betleyles,Betleyles County,Heilerten,Protectorate of Heilerten,Angshire,Novimism,1731,30.86,40.69,840,,,citadel,,,,,https://watabou.github.io/city-generator/?name=Malbolesbu&population=1731&size=16&seed=8827550800124&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
125,Wieierbach,Altin,Altin County,Heilerten,Protectorate of Heilerten,Shwazen,Novimism,1587,29.31,32.12,4252,,,,walls,plaza,,,https://watabou.github.io/city-generator/?name=Wieierbach&population=1587&size=15&seed=8827550800125&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
126,Negrega,Alarares,Alarares County,Torbantia,Kingdom of Torbantia,Astellian,Hergesian Coterie,8576,21.86,63.17,30,,port,,,plaza,,,https://watabou.github.io/city-generator/?name=Negrega&population=8576&size=29&seed=8827550800126&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&sea=0.2
127,Naucraneri,Kyrian,Kyrian Parish,Orchomenia,Patriarchate of Orchomenia,Elladan,Rechinok Pantheon,1647,-2.57,-85.63,840,,,,,,temple,,https://watabou.github.io/city-generator/?name=Naucraneri&population=1647&size=16&seed=8827550800127&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
128,Zaorejope,Zaorejope,Zaorejope County,Torbantia,Kingdom of Torbantia,Astellian,Hergesian Coterie,13798,14.08,56.19,1184,,,,,plaza,,,https://watabou.github.io/city-generator/?name=Zaorejope&population=13798&size=35&seed=8827550800128&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
129,Banamanana,Banamanana,Banamanana Territory,Alcaucia,Republic of Alcaucia,Astellian,Astellian Faith,2511,-1.09,56.03,8534,,port,citadel,,,,,https://watabou.github.io/city-generator/?name=Banamanana&population=2511&size=18&seed=8827550800129&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=1.97
130,Nicha,Bemia,Bemia Parish,Orchomenia,Patriarchate of Orchomenia,Slovan,Rechinok Pantheon,9617,-4.88,-66.51,4990,,,citadel,,,temple,,https://watabou.github.io/city-generator/?name=Nicha&population=9617&size=30&seed=8827550800130&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
131,Areibeiras,Areibeiras,Areibeiras Province,Nesplia,Republic of Nesplia,Portuzian,Nozie Cult,14869,17.15,-82.35,82,,port,citadel,walls,plaza,,,https://watabou.github.io/city-generator/?name=Areibeiras&population=14869&size=36&seed=8827550800131&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=0.8
132,Retnesham,Daria,Daria Parish,Chip,Chip Theocracy,Angshire,Guildendalese Church,3224,15.92,50.93,2759,,,citadel,walls,,temple,,https://watabou.github.io/city-generator/?name=Retnesham&population=3224&size=20&seed=8827550800132&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=1&walls=1&shantytown=0&gates=-1
133,Cherlets,Zubruisk,Zubruisk Province,Zubria,Republic of Zubria,Slovan,Word of Acuso,3077,1.84,-57.83,840,,,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Cherlets&population=3077&size=20&seed=8827550800133&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
134,Baigos,Olbamuria,Olbamuria Department,Luquedia,Most Serene Republic of Luquedia,Astellian,Hergesian Coterie,4670,30.11,67.98,1736,,port,citadel,,plaza,,,https://watabou.github.io/city-generator/?name=Baigos&population=4670&size=23&seed=8827550800134&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&sea=1.56
135,Hombra,Zaorejope,Zaorejope County,Torbantia,Kingdom of Torbantia,Astellian,Hergesian Coterie,8476,12.29,51.34,3573,,,citadel,,plaza,,,https://watabou.github.io/city-generator/?name=Hombra&population=8476&size=29&seed=8827550800135&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
136,Valastari,Pioljanky,Pioljanky Landgrave,Viliersasia,Kingdom of Viliersasia,Soumi,Word of Acuso,1515,10.49,-56.55,328,,,,,plaza,,,https://watabou.github.io/city-generator/?name=Valastari&population=1515&size=15&seed=8827550800136&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
137,Hagheimers,Schwenbachia,Schwenbachia Seneschalty,Bienaunin,Principality of Bienaunin,Shwazen,Novimism,2192,27.95,26.97,554,,,,walls,plaza,,,https://watabou.github.io/city-generator/?name=Hagheimers&population=2192&size=17&seed=8827550800137&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
138,Polidamo,Polidamo,Polidamo Barony,Torbantia,Kingdom of Torbantia,Astellian,Hergesian Coterie,16548,18.92,58.85,210,,,citadel,,,,,https://watabou.github.io/city-generator/?name=Polidamo&population=16548&size=37&seed=8827550800138&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
139,Piolttoi,Karkmovia,Karkmovia Margrave,Belinola,Kingdom of Belinola,Soumi,Nozie Cult,6930,14.43,-23.16,4492,,,,,plaza,,,https://watabou.github.io/city-generator/?name=Piolttoi&population=6930&size=27&seed=8827550800139&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
140,Ondiegomoso,Rinones,Rinones County,Torbantia,Kingdom of Torbantia,Astellian,Hergesian Coterie,9833,12.01,58.09,840,,,citadel,,,,,https://watabou.github.io/city-generator/?name=Ondiegomoso&population=9833&size=31&seed=8827550800140&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
141,Baiba,Lucera,Lucera Canton,Alcaucia,Republic of Alcaucia,Astellian,Astellian Faith,1599,-14.84,75.45,1447,,,,,,,,https://watabou.github.io/city-generator/?name=Baiba&population=1599&size=16&seed=8827550800141&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
142,Rouvrepieds,Ouvilerolia,Ouvilerolia County,Auiersia,Principality of Auiersia,Luari,Nozie Cult,11729,29.96,-70.6,1312,,,,,plaza,,,https://watabou.github.io/city-generator/?name=Rouvrepieds&population=11729&size=33&seed=8827550800142&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
143,Ucilgarri,Ilbentia,Ilbentia County,Torbantia,Kingdom of Torbantia,Astellian,Hergesian Coterie,19342,8.39,55.73,328,,,citadel,walls,plaza,,,https://watabou.github.io/city-generator/?name=Ucilgarri&population=19342&size=40&seed=8827550800143&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
144,Hetsasenlin,Keurenmaa,Keurenmaa Earldom,Klaukmaa,Principality of Klaukmaa,Soumi,Novimism,1654,28.01,3.68,2218,,,citadel,,,,,https://watabou.github.io/city-generator/?name=Hetsasenlin&population=1654&size=16&seed=8827550800144&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
145,Porja,Nikka,Nikka County,Pane,Protectorate of Pane,Soumi,Novimism,3975,15.34,-19.91,2051,,,citadel,,,,,https://watabou.github.io/city-generator/?name=Porja&population=3975&size=22&seed=8827550800145&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
146,Capra,Mentia,Mentia Landgrave,Belinola,Kingdom of Belinola,Tallian,Word of Acuso,5725,6.06,-23.05,118,,,citadel,walls,plaza,,,https://watabou.github.io/city-generator/?name=Capra&population=5725&size=25&seed=8827550800146&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
147,Hulamo,Tulpalota,Tulpalota County,Klaukmaa,Principality of Klaukmaa,Soumi,Novimism,1640,26.07,-4.75,2572,,,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Hulamo&population=1640&size=16&seed=8827550800147&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
148,Huesananes,Horzueria,Horzueria Canton,Lonalejasia,Republic of Lonalejasia,Astellian,Astellian Faith,1859,-20.65,71.84,118,,,,,,,,https://watabou.github.io/city-generator/?name=Huesananes&population=1859&size=16&seed=8827550800148&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
149,Jinenkisari,Keurenmaa,Keurenmaa Earldom,Klaukmaa,Principality of Klaukmaa,Soumi,Novimism,5460,26.43,4.29,1184,,,,,,,,https://watabou.github.io/city-generator/?name=Jinenkisari&population=5460&size=25&seed=8827550800149&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
