Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Population,Latitude,Longitude,Elevation (ft),Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,City Generator Link
70,Khurath,Khurath,Khurath Shire,Brazmaler,Brazmaler Empire,Rake (Drakonic),Rake (Drakonic) Deities,3619,3.12,79.87,13,capital,port,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Khurath&population=3619&size=21&seed=2901772940070&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=0.01
71,A-Jikal,Nalarne,Nalarne County,Thokar,Kingdom of Thokar,Rake (Drakonic),Rake (Drakonic) Deities,3747,-4.92,33.01,14292,capital,port,citadel,walls,,,,https://watabou.github.io/city-generator/?name=A-Jikal&population=3747&size=21&seed=2901772940071&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=0.33
72,Sablanachla,Gloulaunat,Gloulaunat County,Arnartnar,Kingdom of Arnartnar,Rake (Drakonic),Rake (Drakonic) Deities,3772,-13.8,-11.79,266,capital,port,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Sablanachla&population=3772&size=21&seed=2901772940072&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=1.79
73,Orylval,Inatherex,Inatherex County,Gueurvile,Gueurvilean Empire,Rake (Drakonic),Rake (Drakonic) Deities,18760,-33.44,1.73,840,capital,port,citadel,walls,plaza,,,https://watabou.github.io/city-generator/?name=Orylval&population=18760&size=39&seed=2901772940073&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=0.57
74,Timylath,,,Enonanlon,Grand Duchy of Enonanlon,Eldar (Elfish),Eldar (Elfish) Religion,9319,76.64,36.56,30,capital,port,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Timylath&population=9319&size=30&seed=2901772940074&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=1.18
75,Khovshine,,,Bulanderia,Protectorate of Bulanderia,Dulandir (Human),Jarhanlian Occultism,25914,77.96,48.32,210,capital,port,citadel,walls,,temple,,https://watabou.github.io/city-generator/?name=Khovshine&population=25914&size=44&seed=2901772940075&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=1&walls=1&shantytown=0&gates=-1&sea=0.92
76,Beth,Eldralas,Eldralas County,Chaulmethyr,Kingdom of Chaulmethyr,Trow (Dark Elfish),Trow (Dark Elfish) Shamanism,39704,77.26,133.78,118,capital,,citadel,walls,plaza,temple,shanty town,https://watabou.github.io/city-generator/?name=Beth&population=39704&size=52&seed=2901772940076&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1
77,Ududh,,,Grur,Kingdom of Grur,Ugluk (Orkish),Word of Lazogh,51234,69.12,-77.73,643,capital,,citadel,walls,plaza,temple,shanty town,https://watabou.github.io/city-generator/?name=Ududh&population=51234&size=58&seed=2901772940077&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1
78,Henila,Henila,Henila County,Elortheas,Kingdom of Elortheas,Eldar (Elfish),Eldar (Elfish) Religion,4114,69.7,24,161,capital,port,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Henila&population=4114&size=22&seed=2901772940078&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=1.7
79,Muc,Adrel,Adrel County,Gugh,Principality of Gugh,Ugluk (Orkish),Word of Lazogh,11001,63.68,-86.13,328,capital,port,citadel,walls,plaza,,,https://watabou.github.io/city-generator/?name=Muc&population=11001&size=32&seed=2901772940079&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=0.88
80,Senathyr,Senathyr,Senathyr County,Senathyr,Protectorate of Senathyr,Eldar (Elfish),Eldar (Elfish) Religion,33232,59.62,21.22,210,capital,,citadel,walls,plaza,,,https://watabou.github.io/city-generator/?name=Senathyr&population=33232&size=49&seed=2901772940080&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
81,Ulran,Nealean,Nealean Margrave,Hlurtheas,Kingdom of Hlurtheas,Eldar (Elfish),Eldar (Elfish) Religion,7967,56.34,6.07,118,capital,port,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Ulran&population=7967&size=28&seed=2901772940081&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=1.64
82,Ashlugual,,,Elran,Duchy of Elran,Eldar (Elfish),Eldar (Elfish) Religion,24251,56.25,19.47,210,capital,,citadel,walls,plaza,temple,shanty town,https://watabou.github.io/city-generator/?name=Ashlugual&population=24251&size=43&seed=2901772940082&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1
83,Bulb,,,Kogzo,Duchy of Kogzo,Ugluk (Orkish),Ugluk (Orkish)ism,4501,49.66,-95.08,328,capital,port,citadel,walls,plaza,,,https://watabou.github.io/city-generator/?name=Bulb&population=4501&size=23&seed=2901772940083&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=1.56
84,Drethin,Drethin,Drethin Earldom,Cenor,Grand Duchy of Cenor,Eldar (Elfish),Eldar (Elfish) Religion,2652,47.3,14.2,397,capital,,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Drethin&population=2652&size=19&seed=2901772940084&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
85,Vazad,Krudh,Krudh County,Kog,Kingdom of Kog,Ugluk (Orkish),Ugluk (Orkish)ism,30541,40.39,-72.07,2392,capital,port,citadel,walls,,temple,shanty town,https://watabou.github.io/city-generator/?name=Vazad&population=30541&size=47&seed=2901772940085&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=1&walls=1&shantytown=1&gates=-1&sea=1.87
86,Aethelhone,Selte,Selte Parish,Elwen,Elwenese Theocracy,Eldar (Elfish),Eldar (Elfish) Religion,3869,44.69,-1.25,328,capital,port,citadel,walls,,temple,,https://watabou.github.io/city-generator/?name=Aethelhone&population=3869&size=22&seed=2901772940086&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=1&walls=1&shantytown=0&gates=-1&sea=0.98
87,Uhelugaust,Dal-Zedrin,Dal-Zedrin County,Ghron,Kingdom of Ghron,Trow (Dark Elfish),Trow (Dark Elfish) Shamanism,42505,40.34,132.32,840,capital,port,citadel,walls,plaza,temple,shanty town,https://watabou.github.io/city-generator/?name=Uhelugaust&population=42505&size=54&seed=2901772940087&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1&sea=1.36
88,Narbiln,Kila,Kila Earldom,Tuzargi,Kingdom of Tuzargi,Khazadur (Dwarven),Khazadur (Dwarven) Spirits,18162,34.39,-127.08,7559,capital,,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Narbiln&population=18162&size=39&seed=2901772940088&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
89,Petalval,Petalval,Petalval District,Petalval,Republic of Petalval,Rake (Drakonic),Rake (Drakonic) Deities,3754,18.06,-16.04,7878,capital,port,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Petalval&population=3754&size=21&seed=2901772940089&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=0.98
90,Alansalar,,,Eorgath,Duchy of Eorgath,Rake (Drakonic),Rake (Drakonic) Deities,13431,10.1,42.66,6067,capital,,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Alansalar&population=13431&size=35&seed=2901772940090&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
91,Qicro,,,Bhir,Grand Duchy of Bhir,Ugluk (Orkish),Ugluk (Orkish)ism,5254,0.88,-102.46,52,capital,port,citadel,walls,plaza,,,https://watabou.github.io/city-generator/?name=Qicro&population=5254&size=24&seed=2901772940091&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=0.56
92,Nog,Okh,Okh County,Vrazin,Grand Duchy of Vrazin,Ugluk (Orkish),Ugluk (Orkish)ism,3842,-1.36,-97.41,13,capital,port,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Nog&population=3842&size=22&seed=2901772940092&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=1.51
93,Uraraghli,Atarmalanat,Atarmalanat Landgrave,Harumragos,Kingdom of Harumragos,Rake (Drakonic),Rake (Drakonic) Deities,25702,-9.45,34.71,9567,capital,port,citadel,walls,plaza,temple,,https://watabou.github.io/city-generator/?name=Uraraghli&population=25702&size=44&seed=2901772940093&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1&sea=1.07
94,Hlaugheidor,Orethalobeth,Orethalobeth Earldom,Raugaust,Kingdom of Raugaust,Trow (Dark Elfish),Trow (Dark Elfish) Shamanism,2667,76.96,146.97,161,capital,,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Hlaugheidor&population=2667&size=19&seed=2901772940094&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
95,Lysenorwin,Efranthva,Efranthva County,Himlargond,Grand Duchy of Himlargond,Eldar (Elfish),Eldar (Elfish) Religion,43786,71.15,27.2,397,capital,port,citadel,walls,plaza,temple,shanty town,https://watabou.github.io/city-generator/?name=Lysenorwin&population=43786&size=54&seed=2901772940095&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1&sea=0.14
96,Szith,Vhalthin,Vhalthin Province,Szith,Szith League,Trow (Dark Elfish),Trow (Dark Elfish) Shamanism,21611,73.54,148.02,840,capital,,citadel,walls,plaza,temple,shanty town,https://watabou.github.io/city-generator/?name=Szith&population=21611&size=41&seed=2901772940096&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1
97,Orion,Orion,Orion Parish,Orion,Orionese Theocracy,Eldar (Elfish),Eldar (Elfish) Religion,27211,66.75,0.93,643,capital,port,citadel,walls,plaza,temple,,https://watabou.github.io/city-generator/?name=Orion&population=27211&size=45&seed=2901772940097&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1&sea=0.56
98,Shaletario,Shaletario,Shaletario Earldom,Szogith,Grand Duchy of Szogith,Trow (Dark Elfish),Trow (Dark Elfish) Shamanism,25763,67.92,144.76,1447,capital,,citadel,walls,,,shanty town,https://watabou.github.io/city-generator/?name=Shaletario&population=25763&size=44&seed=2901772940098&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=1&gates=-1
99,Nulbun,,,Kindiluk,Republic of Kindiluk,Khazadur (Dwarven),Khazadur (Dwarven) Spirits,31393,61.86,-131,643,capital,,citadel,walls,plaza,,,https://watabou.github.io/city-generator/?name=Nulbun&population=31393&size=48&seed=2901772940099&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
100,Thilsa,Gualmetha,Gualmetha Earldom,Hlurtheas,Kingdom of Hlurtheas,Eldar (Elfish),Eldar (Elfish) Religion,17890,52.73,-0.83,13,,port,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Thilsa&population=17890&size=39&seed=2901772940100&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=0.51
101,Petadi,Petadi,Petadi Land,Motontgalia,Motontgalian Khaganate,Trow (Dark Elfish),Trow (Dark Elfish) Shamanism,3949,57.61,130.93,4019,,,citadel,,,,,https://watabou.github.io/city-generator/?name=Petadi&population=3949&size=22&seed=2901772940101&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
102,Elmethes,Elmethes,Elmethes Earldom,Nioni,Kingdom of Nioni,Eldar (Elfish),Eldar (Elfish) Religion,17194,42.61,-11.39,210,,,,,plaza,,,https://watabou.github.io/city-generator/?name=Elmethes&population=17194&size=38&seed=2901772940102&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
103,Moccoz,Moccoz,Moccoz Earldom,Dird,Principality of Dird,Ugluk (Orkish),Ugluk (Orkish)ism,28392,63.53,-102.65,328,,,,walls,plaza,temple,,https://watabou.github.io/city-generator/?name=Moccoz&population=28392&size=46&seed=2901772940103&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1
104,Handra,Nealean,Nealean Margrave,Hlurtheas,Kingdom of Hlurtheas,Eldar (Elfish),Eldar (Elfish) Religion,3039,52.27,2.52,738,,,citadel,,,,,https://watabou.github.io/city-generator/?name=Handra&population=3039&size=20&seed=2901772940104&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
105,Qash,Qash,Qash Parish,Nel,Nelese Theocracy,Ugluk (Orkish),Ugluk (Orkish)ism,2915,49.23,-82.82,1312,,,citadel,,plaza,temple,,https://watabou.github.io/city-generator/?name=Qash&population=2915&size=19&seed=2901772940105&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1
106,Chyvatanen,Zirkald,Zirkald Landgrave,Vhaltharso,Kingdom of Vhaltharso,Trow (Dark Elfish),Trow (Dark Elfish) Shamanism,4080,74.82,136.79,472,,,citadel,,plaza,,,https://watabou.github.io/city-generator/?name=Chyvatanen&population=4080&size=22&seed=2901772940106&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
107,Kuldrithk,Netis,Netis Margrave,Brazmaler,Brazmaler Empire,Rake (Drakonic),Rake (Drakonic) Deities,8986,-14.5,101.57,13,,port,citadel,walls,plaza,,,https://watabou.github.io/city-generator/?name=Kuldrithk&population=8986&size=30&seed=2901772940107&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=1.12
108,Kiiondrelcut,Prerantum,Prerantum County,Arnartnar,Kingdom of Arnartnar,Rake (Drakonic),Rake (Drakonic) Deities,7972,-11.21,-8.69,840,,port,citadel,walls,,,,https://watabou.github.io/city-generator/?name=Kiiondrelcut&population=7972&size=28&seed=2901772940108&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=1.84
109,Ulzug,Ulzug,Ulzug County,Irdin,Kingdom of Irdin,Ugluk (Orkish),Ugluk (Orkish)ism,36515,15.73,-89.84,13,,port,,walls,plaza,temple,,https://watabou.github.io/city-generator/?name=Ulzug&population=36515&size=51&seed=2901772940109&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1&sea=1.67
110,Moragh,Moragh,Moragh Margrave,Tharkaldres,Duchy of Tharkaldres,Trow (Dark Elfish),Trow (Dark Elfish) Shamanism,11064,69.39,141.58,1312,,,citadel,walls,plaza,,,https://watabou.github.io/city-generator/?name=Moragh&population=11064&size=32&seed=2901772940110&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
111,Draume,Veld-Sholot,Veld-Sholot County,Ghron,Kingdom of Ghron,Trow (Dark Elfish),Trow (Dark Elfish) Shamanism,9099,34.77,125.6,2051,,,,,,,,https://watabou.github.io/city-generator/?name=Draume&population=9099&size=30&seed=2901772940111&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
112,Doragh,Nariolamaha,Nariolamaha Earldom,Tlaughei,Tlaugheian Empire,Trow (Dark Elfish),Trow (Dark Elfish) Shamanism,1702,13.45,100.92,643,,,citadel,,,,,https://watabou.github.io/city-generator/?name=Doragh&population=1702&size=16&seed=2901772940112&river=1&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
113,Kakayran,Kakayran,Kakayran Province,Szith,Szith League,Trow (Dark Elfish),Trow (Dark Elfish) Shamanism,15880,73.13,152.76,472,,,citadel,,,,,https://watabou.github.io/city-generator/?name=Kakayran&population=15880&size=37&seed=2901772940113&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
114,Zugekh-O,Uld,Uld Barony,Grigh,Kingdom of Grigh,Ugluk (Orkish),Ugluk (Orkish)ism,2635,61.61,-115.44,1890,,,citadel,,plaza,,,https://watabou.github.io/city-generator/?name=Zugekh-O&population=2635&size=19&seed=2901772940114&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
115,Faloshaqualu,New Nionanat,New Nionanat Colony,Petalval,Republic of Petalval,Eldar (Elfish),Eldar (Elfish) Religion,2572,25.55,-11.42,9925,,,citadel,,,,,https://watabou.github.io/city-generator/?name=Faloshaqualu&population=2572&size=19&seed=2901772940115&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
116,Kamalarun,Kamalarun,Kamalarun Territory,Auristhedra,Kingdom of Auristhedra,Rake (Drakonic),Rake (Drakonic) Deities,1963,-22.5,26.9,8203,,,,,,,,https://watabou.github.io/city-generator/?name=Kamalarun&population=1963&size=17&seed=2901772940116&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
117,Bulg,Mubrab,Mubrab County,Qir,Qir Empire,Ugluk (Orkish),Ugluk (Orkish)ism,12363,28.92,-80.6,2218,,port,,walls,,,,https://watabou.github.io/city-generator/?name=Bulg&population=12363&size=34&seed=2901772940117&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=1.73
118,Dirdrukh,Dhodh,Dhodh Parish,Rur,Rur Theocracy,Ugluk (Orkish),Ugluk (Orkish)ism,10150,47.71,-118.88,1890,,,citadel,walls,,temple,,https://watabou.github.io/city-generator/?name=Dirdrukh&population=10150&size=31&seed=2901772940118&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=1&walls=1&shantytown=0&gates=-1
119,Oluthin,Venerganenlan,Venerganenlan Territory,Shan,Kingdom of Shan,Trow (Dark Elfish),Trow (Dark Elfish) Shamanism,1711,56.36,140.86,30,,,,walls,,,,https://watabou.github.io/city-generator/?name=Oluthin&population=1711&size=16&seed=2901772940119&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
120,Ballyth,Petadi,Petadi Land,Motontgalia,Motontgalian Khaganate,Trow (Dark Elfish),Trow (Dark Elfish) Shamanism,5120,47.68,126.66,52,,port,,,,,,https://watabou.github.io/city-generator/?name=Ballyth&population=5120&size=24&seed=2901772940120&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=1.71
121,Eshnor,Sahlinde,Sahlinde Earldom,Nioni,Kingdom of Nioni,Eldar (Elfish),Eldar (Elfish) Religion,18410,48.01,-13.96,52,,,citadel,,plaza,,,https://watabou.github.io/city-generator/?name=Eshnor&population=18410&size=39&seed=2901772940121&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
122,Fillorthar,Veld-Sholot,Veld-Sholot County,Ghron,Kingdom of Ghron,Trow (Dark Elfish),Trow (Dark Elfish) Shamanism,21334,36.65,128.67,5515,,port,citadel,walls,plaza,temple,,https://watabou.github.io/city-generator/?name=Fillorthar&population=21334&size=41&seed=2901772940122&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1&sea=1.75
123,Sshauguall,Alase,Alase Captaincy,Nioni,Kingdom of Nioni,Eldar (Elfish),Eldar (Elfish) Religion,7200,29.49,-0.93,738,,port,citadel,,plaza,,,https://watabou.github.io/city-generator/?name=Sshauguall&population=7200&size=27&seed=2901772940123&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&sea=0.12
124,Retheas,Efranthva,Efranthva County,Himlargond,Grand Duchy of Himlargond,Eldar (Elfish),Eldar (Elfish) Religion,17961,72.47,29.75,840,,,,walls,,,,https://watabou.github.io/city-generator/?name=Retheas&population=17961&size=39&seed=2901772940124&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
125,Ylathvarith,Elmethes,Elmethes Earldom,Nioni,Kingdom of Nioni,Eldar (Elfish),Eldar (Elfish) Religion,3260,38.2,-13,52,,,citadel,,,,,https://watabou.github.io/city-generator/?name=Ylathvarith&population=3260&size=20&seed=2901772940125&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
126,Mosothos,Zunartotaar,Zunartotaar Margrave,Brazmaler,Brazmaler Empire,Rake (Drakonic),Rake (Drakonic) Deities,3221,6.37,58.74,210,,port,,,,,,https://watabou.github.io/city-generator/?name=Mosothos&population=3221&size=20&seed=2901772940126&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=0.33
127,Allanthahorat,Irdret,Irdret County,Salagretat,Kingdom of Salagretat,Rake (Drakonic),Jarhanlian Occultism,5603,10.27,53.77,4990,,,citadel,,plaza,,,https://watabou.github.io/city-generator/?name=Allanthahorat&population=5603&size=25&seed=2901772940127&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
128,Kharb,Khunzad,Khunzad Deanery,Bulb,Bulb Theocracy,Khazadur (Dwarven),Khazadur (Dwarven) Spirits,7963,51.46,-119.72,2218,,,citadel,walls,plaza,temple,,https://watabou.github.io/city-generator/?name=Kharb&population=7963&size=28&seed=2901772940128&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1
129,Drakengarsi,Drakengarsi,Drakengarsi Shire,Balan,Ulus of Balan,Anor (Human),Anor (Human) Beliefs,1619,22.05,19.2,5515,,,,,,,,https://watabou.github.io/city-generator/?name=Drakengarsi&population=1619&size=16&seed=2901772940129&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
130,Grigh,Mur,Mur County,Ekh-O,Kingdom of Ekh-O,Ugluk (Orkish),Word of Lazogh,5805,76.48,-82.53,328,,,citadel,,plaza,,,https://watabou.github.io/city-generator/?name=Grigh&population=5805&size=25&seed=2901772940130&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
131,Zrald,Khuld,Khuld Barony,Nugekh,Nugekh Empire,Ugluk (Orkish),Old Ugluk (Orkish) Beliefs,12602,78.66,-147.11,328,,port,,walls,plaza,,,https://watabou.github.io/city-generator/?name=Zrald&population=12602&size=34&seed=2901772940131&river=1&coast=1&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=1.29
132,Vrobrokh,Dhodh,Dhodh County,Kog,Kingdom of Kog,Ugluk (Orkish),Ugluk (Orkish)ism,1483,51.59,-75.25,3153,,,citadel,,plaza,,,https://watabou.github.io/city-generator/?name=Vrobrokh&population=1483&size=15&seed=2901772940132&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
133,Ikhkhairvi,Galtia,Galtia Shire,Motontgalia,Motontgalian Khaganate,Dulandir (Human),Jarhanlian Occultism,1652,71.2,50.39,1447,,,,,,,,https://watabou.github.io/city-generator/?name=Ikhkhairvi&population=1652&size=16&seed=2901772940133&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
134,Krurathgarwen,Nurmerlyrion,Nurmerlyrion County,Bleuroth,Principality of Bleuroth,Rake (Drakonic),Rake (Drakonic) Deities,4855,3.88,45.97,2953,,,,,plaza,,,https://watabou.github.io/city-generator/?name=Krurathgarwen&population=4855&size=24&seed=2901772940134&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
135,Gondestheas,Gafrant,Gafrant County,Thalora,Grand Duchy of Thalora,Eldar (Elfish),Eldar (Elfish) Religion,25865,41.28,6.87,840,,,citadel,walls,plaza,temple,,https://watabou.github.io/city-generator/?name=Gondestheas&population=25865&size=44&seed=2901772940135&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1
136,Hoontor,Alavarveknirve,Alavarveknirve Governorate,Petalval,Republic of Petalval,Rake (Drakonic),Rake (Drakonic) Deities,1450,7.72,-24.15,30,,,citadel,,plaza,,,https://watabou.github.io/city-generator/?name=Hoontor&population=1450&size=15&seed=2901772940136&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
137,Kuzgrudh,Dhodh,Dhodh Parish,Rur,Rur Theocracy,Ugluk (Orkish),Ugluk (Orkish)ism,11352,48.45,-113.09,1184,,,,walls,plaza,temple,,https://watabou.github.io/city-generator/?name=Kuzgrudh&population=11352&size=32&seed=2901772940137&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1
138,Drodh,Adrel,Adrel County,Gugh,Principality of Gugh,Ugluk (Orkish),Word of Lazogh,26446,56.45,-88.59,328,,,citadel,walls,plaza,,shanty town,https://watabou.github.io/city-generator/?name=Drodh&population=26446&size=45&seed=2901772940138&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=1&gates=-1
